ticker,name,sector,market_cap,CapType,PE,PB,ROE,ROA,ProfitMargin,GrossMargin,FCF_Margin,DividendYield,DebtEquity,CurrentRatio,QuickRatio,PriceToFCF,EV_Revenue,EV_EBITDA,Beta,Volatility,return_6m,RSI_14,Momentum_10,MACD,BB_Percent,SMA20_above_SMA50,sentiment_score,sentiment_label,positive_ratio,neutral_ratio,negative_ratio,bullet_positive_count,bullet_negative_count,recommendation,analyst_count,target_mean_price,current_price,percent_change,extraction_date
CS.PA,AXA,Industrials,92472778752.0,BigCap,13.117284,1.8512065,0.124680005,0.01006,0.08642,0.1449,0.05482439288709412,5.08,102.502,1.93,1.264,18.483466380336907,1.064,8.337,1.093,0.0138144464842878,0.3305835778064727,69.71918661651759,2.237191032001796,0.7853926425309012,0.9966398359388712,1.0,-0.05,NEGATIVE,0.05,0.85,0.1,1.0,0.0,buy,17.0,42.72765,42.5,0.35,2025-06-05
CAVA,,Consumer Cyclical,9059648512.0,SmallCap,65.275,12.474917,0.21733999,0.03095,0.13703,0.3751,0.01084637448761496,,56.803,3.001,2.869,805.8303565226092,9.196,80.0,1.0,0.0404405777198378,-0.480845709861336,31.590884625576336,-6.404588904277128,-3.1444878644800696,0.1684605323618886,1.0,-0.25,POSITIVE,0.1,0.55,0.35,0.0,0.0,buy,14.0,116.58857,78.33,-4.5,2025-06-05
PAYX,Paychex,Industrials,57495490560.0,BigCap,33.18607,13.966664,0.44254002,0.11643,0.31988,0.72025,0.21288722266508647,2.71,20.981,1.393,0.598,49.55270057340242,10.415,23.335,0.911,0.0153668294811265,0.1364267075241509,67.22121058109124,1.9907826053322344,2.808300367513283,0.7982768437599405,1.0,0.15,POSITIVE,0.2,0.75,0.05,2.0,0.0,hold,15.0,147.42532,159.31,-0.01,2025-06-05
BNS,,Financial Services,66800459776.0,SmallCap,15.41092,0.7866289,0.07908,0.00471,0.22761999,0.0,,5.99,,,,,-2.454,,1.209,0.0113868389565888,-0.038371873266688,75.30380905322573,4.055103056775928,1.1066573015688874,0.8604587796767948,1.0,0.15,NEUTRAL,0.35,0.45,0.2,0.0,0.0,hold,3.0,54.682415,53.63,0.37,2025-06-05
APD,Air Products,Materials,61693648896.0,BigCap,39.88777,4.1958528,0.095790006,0.047020003,0.12755,0.31947002,-0.33181511317224305,2.56,98.527,0.996,0.77,-15.41150646724684,6.602,18.436,0.873,0.0181931879614283,-0.1284112964106524,51.95441966031049,2.5994656057394363,1.426584962442064,0.6243124025415839,1.0,-0.05,NEGATIVE,0.1,0.75,0.15,0.0,0.0,buy,23.0,317.93304,276.22,-1.45,2025-06-05
ANET,Arista Networks,Information Technology,119877558272.0,BigCap,40.27426,11.852725,0.33681,0.15675001,0.4072,0.64088994,0.41107806504098177,,,3.933,3.071,39.10318262248763,14.938,34.86,1.379,0.0404049999956859,-0.106524428416741,59.94606067002924,3.0185014673976074,2.175258102649593,0.6664558160563724,1.0,0.05,NEGATIVE,0.25,0.55,0.2,0.0,0.0,buy,24.0,106.005,95.18,0.27,2025-06-05
ATAT,,Consumer Cyclical,4319694336.0,SmallCap,24.809525,1.3063647,0.44867,0.14077,0.16406,0.42786,0.1587869779123489,1.34,53.586,2.288,2.09,3.5397180800511183,1.28,5.739,0.6,0.0313916572344471,0.1961129860081158,62.786733588037336,4.986849453434612,1.2784687750034252,0.705632691566395,1.0,-0.1,NEUTRAL,0.1,0.7,0.2,1.0,0.0,strong_buy,14.0,38.48185,31.26,-0.54,2025-06-05
LX,,Financial Services,1255249408.0,SmallCap,6.9719625,0.11250698,0.12571,0.05994,0.0945,0.40741003,,2.45,48.172,1.853,1.314,,0.337,2.047,0.452,0.0535506690604703,0.365326906028949,43.40758266306851,-13.9561710207527,-0.2769606282345211,0.3047887148488182,0.0,0.1,NEGATIVE,0.35,0.4,0.25,0.0,0.0,strong_buy,5.0,11.561781,7.46,0.54,2025-06-05
HO.PA,THALES,Consumer Staples,56898707456.0,BigCap,55.632652,7.4472737,0.12835,0.02802,0.06899,0.26117,0.16874264967003638,1.38,103.51,0.83,0.597,16.387168524921247,2.823,21.583,0.562,0.0246304879344442,0.9395325674915572,65.39306974382967,5.048171908869219,7.636086459957539,0.815388746842456,1.0,-0.182,NEGATIVE,0.09,0.64,0.27,2.0,0.0,buy,14.0,260.42856,272.6,1.79,2025-06-05
SBUX,Starbucks,Consumer Discretionary,99508871168.0,BigCap,31.84182,-13.05187,0.317925,0.08979999,0.08609,0.25030002,0.05086794386271668,2.77,,0.644,0.399,53.46680042803453,3.388,20.329,0.99,0.0250902924989711,-0.1065197020652855,54.33086395565038,4.880688429165837,0.3419023823831963,0.7614083404479751,0.0,0.05,NEGATIVE,0.25,0.55,0.2,0.0,0.0,buy,29.0,91.11897,86.99,-1.27,2025-06-05
GEHC,GE HealthCare,Health Care,32800591872.0,BigCap,15.04937,3.5699692,0.26444,0.05867,0.11026,0.42001998,0.07964417821397096,0.2,97.515,0.977,0.673,20.776327555316293,1.997,10.812,1.291,0.0271626102098631,-0.1209245001066854,53.01607393284995,2.831275034292801,0.2109226042450984,0.5213005495354585,1.0,0.25,NEUTRAL,0.35,0.55,0.1,1.0,0.0,buy,20.0,87.403,71.55,0.59,2025-06-05
PATH,,Technology,7105317888.0,SmallCap,15.77421325,4.1826773,-0.03624,-0.02318,-0.04652,0.82657,0.32512607485795575,,4.648,2.947,2.689,15.036858842951576,3.794,-62.149,1.056,0.0340905523894414,-0.1033086187235304,61.66165019963675,8.852458529432617,0.3382947930318423,0.8359572108781511,1.0,0.45,POSITIVE,0.55,0.35,0.1,0.0,0.0,hold,18.0,14.06444,13.26,1.69,2025-06-05
IFS,,Financial Services,4023239168.0,SmallCap,11.251593,0.36341754,0.15168001,0.01715,0.32784998,0.0,,2.88,,,,,2.777,,0.867,0.015327169235516,0.2145067599084105,55.564918207144096,-2.1329547800906186,0.3810133266280715,0.4916686417769454,1.0,0.15,POSITIVE,0.2,0.75,0.05,0.0,0.0,buy,2.0,42.82784,35.38,1.96,2025-06-05
5019.T,Idemitsu Kosan,Energy,1069472874496.0,BigCap,11.073722,0.61375374,0.05747,0.02071,0.01132,0.07502,0.03285925796869684,4.18,68.848,1.263,0.609,3.541488657547565,0.229,7.872,0.333,0.0205758327511219,-0.1390913507668185,45.31139864342446,1.328004168380419,-10.218195240535806,0.4285452006341539,0.0,0.333,POSITIVE,0.33,0.67,0.0,1.0,0.0,buy,7.0,1107.1428,858.0,-0.49,2025-06-05
TLK,,Communication Services,17251682304.0,SmallCap,12.010345,0.011647178,0.18236,0.08919,0.15689999,0.59679,0.15981938431619266,7.53,40.608,0.885,0.747,0.0007233948309396334,0.384,0.872,0.212,0.0232870688049582,0.0119117862847328,64.87222282879878,4.219041709641939,0.4542056012124114,0.8208645531833051,1.0,,POSITIVE,0.15,0.7,0.15,1.0,0.0,none,1.0,17.34143,17.41,0.58,2025-06-05
9766.T,Konami,Consumer Discretionary,2674539364352.0,BigCap,35.751175,5.550534,0.16429001,0.105900005,0.17716,0.47182,0.08655941674480377,0.82,15.674,3.154,2.938,73.2878547755808,5.825,18.037,0.767,0.0269735942525833,0.2732807496980896,51.76579027925188,4.835281615302869,197.92314208569587,0.5785722191979398,1.0,0.5,POSITIVE,0.5,0.5,0.0,0.0,0.0,buy,15.0,20520.666,19830.0,0.51,2025-06-05
NJR,,Utilities,4480606208.0,SmallCap,10.834951,2.0177183,0.17829001,0.05086,0.20029,0.40539002,-0.06582201216627544,4.02,,0.927,0.56,-32.847676005581164,3.341,,0.64,0.0127773098007933,-0.0751026036230003,34.318926489064495,-3.061888970189942,-0.7635538511419213,0.0423288932724054,0.0,,POSITIVE,0.15,0.7,0.15,1.0,0.0,buy,7.0,54.0,44.65,-0.29,2025-06-05
EBR,,Utilities,17003283456.0,SmallCap,10.013514,0.13709274,0.082770005,0.028870001,0.23156,0.53571,0.16535716881150792,3.0,61.574,2.29,1.379,2.455440673443363,1.538,3.872,0.359,0.0186197795993459,0.2288556533313321,50.63591024706304,1.785709256280119,-0.0151087379350549,0.4539303828231587,1.0,0.05,NEUTRAL,0.35,0.35,0.3,0.0,0.0,strong_buy,3.0,8.76667,7.41,1.23,2025-06-05
JKHY,Jack Henry & Associates,Financials,13198627840.0,BigCap,30.93174,6.48121,0.22494,0.11807,0.18502001,0.42058998,0.09937040986653024,1.28,10.972,1.362,0.814,57.1763630145976,5.776,22.163,0.732,0.0155501908283572,0.0508314702001002,54.123654103553726,-0.8126266408992182,1.4943820934402368,0.4784341234454004,1.0,0.2,POSITIVE,0.2,0.8,0.0,1.0,0.0,hold,15.0,188.91467,181.01,-0.28,2025-06-05
ENVA,"Enova International, Inc.",Financial Services,2358605056.0,SmallCap,10.964623,1.9859884,0.19939,,0.17937,0.82177,,,,,,,4.66,,1.452,0.0276768368362374,-0.1230783322890256,46.622002488359925,-5.054627726760633,-0.557586622511451,0.3351614594924601,1.0,0.3,POSITIVE,0.3,0.7,0.0,0.0,0.0,strong_buy,8.0,126.5,93.99,1.26,2025-06-02
ORI,,Financial Services,9240225792.0,SmallCap,12.177525,1.5400617,0.12671,0.024,0.093760006,0.62446,0.3345398838434022,3.1,26.735,0.237,0.202,3.3164528563767934,1.133,8.589,0.794,0.015241045770019,0.0601204763366125,45.91728824192784,-0.5189023417245842,-0.0290097428757292,0.23167451286662,1.0,-0.1,POSITIVE,0.0,0.9,0.1,2.0,0.0,none,2.0,42.0,37.39,-0.05,2025-06-05
SEM,,Healthcare,1971788288.0,SmallCap,24.741936,1.1447761,0.07715,0.02422,0.03331,0.17262,0.04189406266039652,1.64,136.218,1.156,1.018,9.018099604463565,0.962,12.997,1.147,0.030151039496558,-0.2200399068033098,49.944296998228005,4.000001034494174,-0.1861709776833677,0.7903686052703749,0.0,-0.15,NEUTRAL,0.15,0.55,0.3,0.0,0.0,none,6.0,20.5,15.34,0.66,2025-06-05
4506.T,Sumitomo Dainippon Pharma,Health Care,348026470400.0,BigCap,13.735709,1.9151968,0.14517,0.00987,0.05926,0.61528,-0.03099582036131133,,180.212,1.052,0.419,-28.152640554627634,1.522,15.729,0.535,0.0481494678486496,0.4615384615384614,53.09293646288153,1.4906832298136643,16.75807531122814,0.4565164885964639,1.0,-0.167,NEUTRAL,0.17,0.5,0.33,3.0,0.0,hold,8.0,677.5,816.0,-0.12,2025-06-05
ITW,Illinois Tool Works,Industrials,72250179584.0,BigCap,21.679579,22.265617,1.07584,0.16544001,0.21371001,0.43707,0.17079263408544243,2.43,254.874,1.597,1.065,26.816585956761802,5.051,17.619,1.119,0.0164974019797657,-0.0945063040968073,52.51211612850927,0.5926884296775315,0.8103744215255517,0.4905686786081699,1.0,-0.05,NEGATIVE,0.2,0.55,0.25,3.0,0.0,hold,18.0,246.72278,246.11,-0.18,2025-06-05
OGS,,Utilities,4582406144.0,SmallCap,17.72947,1.3810751,0.08078,0.03392,0.107480004,0.36277,-0.12373967940599313,3.65,100.849,0.592,0.407,-16.385251184964254,3.361,10.288,0.806,0.0145891532218536,0.0293563952665387,44.036210764424894,-1.858536398760568,-0.4589186280927322,0.3205485482844722,0.0,-0.05,NEGATIVE,0.1,0.75,0.15,2.0,0.0,hold,8.0,77.5,73.41,-0.08,2025-06-05
UVSP,,Financial Services,831749760.0,SmallCap,10.827067,0.92325443,0.08931,0.00993,0.2651,0.0,,3.05,,,,,3.477,,0.739,0.0184694121042111,-0.0851207350883164,42.58229318658487,-3.96799114084571,-0.0407029791623223,0.0687290579589546,1.0,0.15,POSITIVE,0.15,0.85,0.0,0.0,0.0,none,3.0,31.66667,28.8,-0.28,2025-06-05
AOMR,,Real Estate,213616816.0,SmallCap,5.941177,0.84945333,0.14144,0.01477,0.63708,0.80209,,14.29,840.554,2.64,2.633,,39.972,,1.312,0.0215336159954504,0.038117073737083,47.977113812410174,-3.19489009335547,-0.0087197912308969,0.2658049115536701,1.0,0.1,POSITIVE,0.2,0.7,0.1,0.0,0.0,buy,6.0,11.83333,9.07,1.23,2025-06-05
OKE,Oneok,Energy,50835677184.0,BigCap,15.895509,2.3794699,0.16409001,0.06048,0.121470004,0.35621,0.07043269230769231,5.12,144.846,0.666,0.452,28.847482612059157,3.323,12.728,0.931,0.0235709634979005,-0.24361325746843,44.243031179890394,-0.7821084875077642,-0.9619937876464776,0.2894940527451656,0.0,0.1,POSITIVE,0.15,0.8,0.05,0.0,0.0,buy,18.0,105.35833,81.19,0.87,2025-06-05
MRNA,Moderna,Health Care,10128773120.0,BigCap,27.6462145,1.0069205,-0.29341,-0.15837,-1.05666,-0.82373,-1.0064526183232507,,7.401,4.218,3.916,-3.159250018854731,1.673,-1.503,1.859,0.0481066937416439,-0.3900791483079543,48.34796958197035,1.5891467423889023,0.0688134993459215,0.5418181575306045,0.0,,NEGATIVE,0.2,0.6,0.2,2.0,0.0,hold,23.0,47.69565,26.12,-4.22,2025-06-05
8304.T,Aozora Bank,Financials,298487808000.0,BigCap,14.009222,0.66122603,0.04616,0.0025600002,0.18595,0.0,,4.12,,,,,-0.617,,0.219,0.0187912967359236,-0.1182872617648561,66.82468213752855,4.202898550724638,40.25510280308481,0.8277128900300889,1.0,,POSITIVE,0.0,1.0,0.0,0.0,0.0,underperform,6.0,2060.0,2161.0,0.19,2025-06-05
PPG,PPG Industries,Materials,25282746368.0,BigCap,19.715044,3.650336,0.1765,0.06301,0.06945,0.41696,0.06803252653061224,2.43,111.012,1.354,0.913,23.673063466820704,2.012,11.899,1.156,0.0214651118315466,-0.1016995224769082,53.57102168083589,0.0269676194471103,1.0497241134912372,0.4407633975454901,1.0,,POSITIVE,0.1,0.8,0.1,0.0,0.0,buy,22.0,126.51409,111.26,-0.63,2025-06-05
SAIC,,Technology,4802118144.0,SmallCap,14.409282,3.1994627,0.2163,0.06524,0.04701,0.11826,0.049141029506581745,1.45,162.193,0.779,0.716,13.013870308943089,0.957,10.462,0.507,0.0247565119738465,-0.1265281808159855,29.77753505830684,-16.333197630420283,-3.679330802683865,0.0401395212157346,1.0,-0.7,NEGATIVE,0.0,0.3,0.7,0.0,0.0,hold,11.0,122.82818,102.45,0.18,2025-06-05
DSGX,,Technology,8675633152.0,SmallCap,61.951218,6.279745,0.109239995,0.07552,0.22007999,0.75641,0.30651959447004606,,0.57,1.625,1.415,43.47723821225904,14.852,36.682,0.597,0.0222708148143892,-0.1628903668539933,33.77357867848988,-10.460917087234767,1.18668755869804,-0.3403681098186579,1.0,-0.05,NEGATIVE,0.2,0.55,0.25,0.0,0.0,buy,13.0,117.53231,101.6,-12.12,2025-06-05
9101.T,Nippon Yusen,Consumer Discretionary,2137555599360.0,BigCap,10.551605,0.7331153,0.17187999,0.03073,0.18454,0.18129998,0.028948024942919606,4.63,24.864,1.331,0.962,28.524415220260884,1.071,7.589,1.049,0.0199431019137224,0.0470971707426102,44.42197147737147,-5.742083174360931,77.34716705446954,0.0518873135143361,1.0,-0.75,NEGATIVE,0.0,0.25,0.75,0.0,0.0,hold,10.0,5175.0,4981.0,0.81,2025-06-05
3099.T,Isetan Mitsukoshi Holdings,Consumer Discretionary,824547540992.0,BigCap,15.243518,1.3168024,0.08768,0.03924,0.09507,0.60785997,0.0713844052928815,2.77,14.32,0.672,0.504,20.79289627657322,1.512,8.288,0.114,0.0242581978798788,-0.0443151632293071,56.08251826979956,-1.7217942908926145,69.02998478226527,0.5508768990327993,1.0,0.25,POSITIVE,0.25,0.75,0.0,0.0,0.0,hold,8.0,2550.0,2187.5,0.85,2025-06-05
BEN,Franklin Resources,Financials,11445848064.0,BigCap,31.565218,0.92688745,0.02799,0.02224,0.046490002,0.37884,-0.011229316986806718,5.99,24.117,6.576,1.642,-117.03654938329653,1.721,8.976,1.458,0.0239932740166191,0.0042872423340709,59.98048821581558,0.7172548584872687,0.4598837246152598,0.5450072893771376,1.0,0.2,POSITIVE,0.2,0.8,0.0,1.0,0.0,hold,11.0,20.0,21.75,1.78,2025-06-05
PKG,Packaging Corporation of America,Materials,17493012480.0,BigCap,20.357067,3.8583364,0.20211,0.08675,0.100880004,0.21913,0.04542090202553026,2.59,62.289,3.277,1.992,45.13924572470366,2.251,10.89,0.862,0.0186883365697451,-0.1947077007013853,55.81074931214419,1.7401370307926198,1.3839510700946391,0.6976291885363445,1.0,,NEUTRAL,0.05,0.9,0.05,0.0,0.0,buy,10.0,201.35,194.7,0.67,2025-06-05
8267.T,Aeon,Consumer Discretionary,3732512964608.0,BigCap,129.0947,3.5528154,0.0339,0.011109999,0.0028400002,0.37048,0.04036320653255767,0.92,183.38,1.03,0.527,9.124250030819416,0.647,10.932,0.431,0.0140674441806206,0.1881666732021043,53.33610657291036,0.9548206800186306,61.16193976075829,0.3915992986703446,1.0,0.143,POSITIVE,0.29,0.57,0.14,3.0,0.0,hold,7.0,3492.8572,4345.0,0.23,2025-06-05
9001.T,Tobu Railway,Consumer Discretionary,496821829632.0,BigCap,9.836,0.89603865,0.093669996,0.026970001,0.08129,0.31306,-0.029543393298413236,2.6,138.93,0.403,0.238,-26.631386023540554,1.975,9.73,0.051,0.0129138152092993,-0.0134625602872519,32.416156285854484,-2.5259447816722145,-29.213444503307528,0.107269082124938,0.0,-0.125,NEGATIVE,0.12,0.62,0.25,2.0,0.0,buy,4.0,3025.0,2511.5,0.9,2025-06-05
CNMD,,Healthcare,1749651328.0,SmallCap,14.84252,1.789104,0.12962,0.04138,0.09024,0.56278,0.12087461971977294,1.41,91.257,2.257,0.906,11.01281703879793,1.981,11.68,1.244,0.0298898480990671,-0.2122560512718104,49.39243597346399,-1.4979979317842291,0.1794198225186818,0.2973150790039618,1.0,0.1,POSITIVE,0.15,0.8,0.05,0.0,0.0,hold,6.0,65.66667,56.62,0.11,2025-06-05
GE,GE Aerospace,Industrials,268842254336.0,BigCap,39.701576,13.964715,0.27197,0.03718,0.17628,0.31882,0.06609901257712839,0.57,106.4,1.075,0.727,102.42386193885085,6.942,28.221,1.389,0.0228182776595895,0.4631051941267698,83.47674428170482,7.955811580541797,11.825036112199768,0.8731658947319489,1.0,0.05,POSITIVE,0.25,0.55,0.2,1.0,0.0,strong_buy,18.0,236.95056,251.92,0.44,2025-06-05
ONB,,Financial Services,7590963200.0,SmallCap,11.930233,1.0390927,0.09292,0.0109,0.31382,0.0,,2.69,,,,,6.315,,0.848,0.0241675006592119,-0.1053217951360975,43.74397698567987,-0.7256875567325485,-0.0566137780373559,0.1659968273830409,1.0,0.3,POSITIVE,0.3,0.7,0.0,1.0,0.0,buy,11.0,25.13636,20.52,-0.58,2025-06-05
SYF,Synchrony Financial,Financials,21864937472.0,BigCap,7.8684926,1.423156,0.18597999,0.02437,0.34037998,0.0,,2.07,,,,,2.14,,1.428,0.0301545031221197,-0.1337429106093597,52.10573876862744,0.2271091013382562,1.071986743228429,0.318382031740476,1.0,0.05,POSITIVE,0.1,0.85,0.05,0.0,0.0,buy,21.0,64.14286,57.45,-0.69,2025-06-05
WBA,Walgreens Boots Alliance,Consumer Staples,9732626432.0,BigCap,22.625,1.368389,-0.66207004,-0.00587,-0.03803,0.17392,0.02418046541003454,8.89,428.707,0.611,0.266,2.647787413798906,0.262,30.051,0.746,0.0416228431463702,0.3288075276990587,56.31929625817652,0.6708390627718995,0.0512010631590005,0.589635183221894,1.0,0.2,NEGATIVE,0.25,0.7,0.05,0.0,0.0,hold,12.0,12.41333,11.25,0.0,2025-06-05
2282.T,NH Foods,Consumer Staples,505540149248.0,BigCap,19.26808,0.9557404,0.05167,0.024230001,0.0194,0.1608,0.025587753992974697,3.08,41.689,1.576,0.829,14.415431041319414,0.486,8.465,0.165,0.0158961874720388,0.0178858520900322,41.626792350036496,-0.4520440251572327,-41.90740357093364,0.3034218102986917,0.0,,POSITIVE,0.0,1.0,0.0,0.0,0.0,hold,7.0,5442.857,5091.0,0.51,2025-06-05
3402.T,Toray Industries,Consumer Discretionary,1532820324352.0,BigCap,20.040943,0.89578104,0.047270004,0.023570001,0.0304,0.19736,0.032177863993928496,2.04,46.285,1.705,0.983,18.58394873658013,0.877,8.762,0.451,0.0259394378802305,0.027523847905108,51.328507112968786,0.5443142370878239,10.938716287676698,0.4619809101139246,1.0,0.2,POSITIVE,0.4,0.4,0.2,1.0,0.0,buy,12.0,1132.5,980.7,0.17,2025-06-05
CBRE,CBRE Group,Real Estate,38179794944.0,BigCap,39.166664,4.5638385,0.11921,0.038900003,0.02735,0.19610001,0.031659953942018114,,100.422,0.997,0.796,32.71018105300779,1.246,20.299,1.29,0.0216141602081949,-0.0611713922644134,55.72930772880004,5.6920634541910955,0.2275524987548465,0.5864754545063864,1.0,0.1,POSITIVE,0.2,0.7,0.1,1.0,0.0,buy,12.0,143.0,127.64,0.15,2025-06-05
ZIM,,Industrials,2064047872.0,SmallCap,0.87781763,0.5215023,0.72444,0.17063,0.26518,0.48208,0.33921467782663606,47.64,148.291,1.177,1.099,0.686841884097766,0.627,1.91,1.752,0.045983852605102,-0.005595828930172,53.81110377658275,-5.331492443369398,0.4498425325528465,0.4692120267757005,1.0,0.2,NEGATIVE,0.35,0.5,0.15,2.0,0.0,underperform,7.0,14.42377,17.16,3.87,2025-06-05
2871.T,Nichirei,Consumer Staples,472564760576.0,BigCap,19.380203,1.8167926,0.09983,0.048649997,0.03523,0.17979,0.026479176465997834,2.55,38.502,1.588,1.09,25.41968955183498,0.791,8.871,0.274,0.0156455540527664,-0.1036367958164963,52.23777691071407,1.9740400216333152,-2.3368901664969144,0.6075112664224194,0.0,0.333,POSITIVE,0.33,0.67,0.0,0.0,0.0,buy,5.0,2300.0,1896.0,0.56,2025-06-05
WM,Waste Management,Industrials,96189595648.0,BigCap,35.99925,11.118942,0.34013999,0.07004,0.1167,0.39403,0.05088452231307667,1.38,275.54,0.833,0.711,82.3325628367356,5.224,17.789,0.668,0.0123535334087739,0.0743920925634382,58.47205993058241,1.8452830097676192,2.699731756673657,0.7002175980765356,1.0,-0.2,NEGATIVE,0.05,0.7,0.25,0.0,0.0,buy,21.0,247.48143,238.64,-0.1,2025-06-05
HOLX,Hologic,Health Care,14103860224.0,BigCap,26.592436,3.0536525,0.11766,0.069180004,0.13826,0.61013,0.19269216180344031,,54.799,3.242,2.294,18.114816184413044,3.688,11.857,0.548,0.0226343321874882,-0.1672368300588507,62.79958043316209,15.12240084605282,1.4612230888532522,0.8217470654024716,1.0,,POSITIVE,0.2,0.6,0.2,0.0,0.0,buy,15.0,67.14133,63.07,0.8,2025-06-05
4183.T,Mitsui Chemicals,Materials,607173869568.0,BigCap,18.975834,0.71444046,0.0436,0.01885,0.017819999,0.21463,0.026122630612021046,4.64,76.033,1.724,0.861,12.847488099443618,0.716,7.821,0.609,0.0206379643430448,-0.026550252384649,57.5698278679804,5.996068152031455,25.61957538991828,0.7192380924783222,1.0,,NEGATIVE,0.0,1.0,0.0,3.0,0.0,buy,10.0,4245.0,3252.0,0.53,2025-06-05
