ticker,name,sector,market_cap,CapType,PE,PB,ROE,ROA,ProfitMargin,GrossMargin,FCF_Margin,DividendYield,DebtEquity,CurrentRatio,QuickRatio,PriceToFCF,EV_Revenue,EV_EBITDA,Beta,Volatility,return_6m,RSI_14,Momentum_10,MACD,BB_Percent,SMA20_above_SMA50,sentiment_score,sentiment_label,positive_ratio,neutral_ratio,negative_ratio,bullet_positive_count,bullet_negative_count,recommendation,analyst_count,target_mean_price,current_price,percent_change,extraction_date
EBR,Centrais Electricas Brasileiras,Utilities,16784765952.0,SmallCap,10.006757,0.13700025,0.082770005,0.028870001,0.23156,0.53571,0.16535716881150792,2.96,61.574,2.29,1.379,2.4222479180774927,1.543,3.886,0.359,0.0185447232639945,0.2280265260627083,50.426329912904514,0.7483034814886947,-0.0121039577644461,0.4649064919685843,1.0,,POSITIVE,0.3,0.4,0.3,1.0,0.0,strong_buy,3.0,8.76667,7.39,-0.27,2025-06-06
JKHY,Jack Henry & Associates,Financials,13262706688.0,BigCap,31.081911,6.512676,0.22494,0.11807,0.18502001,0.42058998,0.09937040986653024,1.28,10.972,1.362,0.814,57.489077080696276,5.761,22.103,0.732,0.0155563653342904,0.059595134325862,56.57440285884974,0.4243415542073437,1.4836563647470769,0.6079192642261113,1.0,0.15,POSITIVE,0.2,0.75,0.05,2.0,0.0,hold,15.0,188.91467,181.84,0.46,2025-06-06
ENVA,"Enova International, Inc.",Financial Services,2358605056.0,SmallCap,10.964623,1.9859884,0.19939,,0.17937,0.82177,,,,,,,4.66,,1.452,0.0276768368362374,-0.1230783322890256,46.622002488359925,-5.054627726760633,-0.557586622511451,0.3351614594924601,1.0,0.3,POSITIVE,0.3,0.7,0.0,0.0,0.0,strong_buy,8.0,126.5,96.54,2.58,2025-06-02
ORI,Old Republic International Corp,Financial Services,9226632192.0,SmallCap,12.15961,1.5377961,0.12671,0.024,0.093760006,0.62446,0.3345398838434022,3.1,26.735,0.237,0.202,3.322661789968747,1.132,8.584,0.794,0.0151796640125016,0.0585608350590494,45.3555421198172,0.187878455917772,-0.0578591839632025,0.2261348956154172,0.0,-0.1,POSITIVE,0.0,0.9,0.1,3.0,0.0,none,2.0,42.0,37.47,0.24,2025-06-06
SEM,Select Medical Holdings Corpora,Healthcare,1980785920.0,SmallCap,24.854837,1.15,0.07715,0.02422,0.03331,0.17262,0.04189406266039652,1.63,136.218,1.156,1.018,9.076887096344574,0.964,13.03,1.147,0.0300322764847365,-0.2164807824254899,50.83489997335325,6.34920697602572,-0.150732139395167,0.817676322635108,0.0,-0.25,NEUTRAL,0.1,0.55,0.35,2.0,0.0,none,6.0,20.5,15.44,0.65,2025-06-06
4506.T,Sumitomo Dainippon Pharma,Health Care,324586045440.0,BigCap,13.517149,1.8847225,0.14517,0.00987,0.05926,0.61528,-0.03099582036131133,,180.212,1.052,0.419,-26.256492087563785,1.509,15.595,0.535,0.0481463544355376,0.4031413612565444,51.31166078304347,2.681992337164751,14.870245253534565,0.4152086245112789,1.0,-0.4,NEGATIVE,0.0,0.6,0.4,0.0,0.0,hold,8.0,677.5,804.0,-1.59,2025-06-06
ITW,Illinois Tool Works,Industrials,72493678592.0,BigCap,21.73351,22.340656,1.07584,0.16544001,0.21371001,0.43707,0.17079263408544243,2.44,254.874,1.597,1.065,26.976216424885592,5.043,17.593,1.119,0.0164950618005171,-0.0856751147211005,54.26246896289651,1.0583941264482242,0.9049615722779264,0.5779716464239789,1.0,0.05,NEUTRAL,0.25,0.55,0.2,0.0,0.0,hold,18.0,246.72278,247.56,0.62,2025-06-06
OGS,"ONE Gas, Inc.",Utilities,4574289920.0,SmallCap,17.698067,1.3786291,0.08078,0.03392,0.107480004,0.36277,-0.12373967940599313,3.65,100.849,0.592,0.407,-16.389713949686353,3.359,10.282,0.806,0.0145305447766831,0.0275332160464165,43.58024704075483,-0.2993621269535855,-0.5159061157029754,0.2990041254337954,0.0,-0.05,NEGATIVE,0.1,0.75,0.15,0.0,0.0,buy,8.0,77.5,73.44,0.05,2025-06-06
UVSP,Univest Financial Corporation,Financial Services,842435456.0,SmallCap,10.966166,0.9351157,0.08931,0.00993,0.2651,0.0,,3.05,,,,,3.469,,0.739,0.0184332286504513,-0.0733671070392437,46.624003531219735,-1.5192462869325825,-0.0636126078597918,0.2240170597617417,1.0,0.15,POSITIVE,0.15,0.85,0.0,0.0,0.0,none,3.0,31.66667,29.46,2.29,2025-06-06
AOMR,"Angel Oak Mortgage REIT, Inc.",Real Estate,215144320.0,SmallCap,5.98366,0.85552746,0.14144,0.01477,0.63708,0.80209,,14.11,840.554,2.64,2.633,,40.017,,1.312,0.0214490636430356,0.0455403050956038,49.92693889113637,0.4939635344658016,-0.0092215616736623,0.3323908218130831,1.0,0.05,POSITIVE,0.15,0.75,0.1,1.0,0.0,buy,6.0,11.83333,9.18,0.99,2025-06-06
OKE,Oneok,Energy,51026190336.0,BigCap,15.955079,2.3883872,0.16409001,0.06048,0.121470004,0.35621,0.07043269230769231,5.07,144.846,0.666,0.452,29.085537565415244,3.34,12.793,0.931,0.0235608659209694,-0.2329774497373729,46.01744015080975,0.3932649428817433,-0.9071449249607468,0.3544563068223574,0.0,0.1,NEGATIVE,0.2,0.7,0.1,0.0,0.0,buy,18.0,105.35833,81.72,0.67,2025-06-06
MRNA,Moderna,Health Care,10556123136.0,BigCap,27.746788,1.049404,-0.29341,-0.15837,-1.05666,-0.82373,-1.0064526183232507,,7.401,4.218,3.916,-3.3231390220551513,1.533,-1.377,1.859,0.0481965323159848,-0.3858010594111649,52.84670406032508,2.116393240761726,0.1104163213221909,0.740839747051134,0.0,,NEGATIVE,0.2,0.6,0.2,1.0,0.0,hold,23.0,47.69565,27.46,5.13,2025-06-06
8304.T,Aozora Bank,Financials,298764566528.0,BigCap,14.018571,0.6618391,0.04616,0.0025600002,0.18595,0.0,,4.08,,,,,-0.614,,0.219,0.0187961281751975,-0.1195944859567914,67.02344456647815,4.856726566294318,42.04608147757335,0.8208841150866348,1.0,,POSITIVE,0.0,1.0,0.0,1.0,0.0,underperform,6.0,2060.0,2159.0,0.09,2025-06-06
PPG,PPG Industries,Materials,25559656448.0,BigCap,19.930973,3.6903164,0.1765,0.06301,0.06945,0.41696,0.06803252653061224,2.44,111.012,1.354,0.913,23.96456004927775,2.002,11.841,1.156,0.0214979382285614,-0.0923670932802593,57.25580968600538,1.32631821442667,1.0883710215889977,0.630493457792583,1.0,0.05,POSITIVE,0.1,0.85,0.05,0.0,0.0,buy,22.0,126.51409,112.6,1.16,2025-06-06
SAIC,Science Applications Internatio,Technology,4904301056.0,SmallCap,14.715893,3.267543,0.2163,0.06524,0.04701,0.11826,0.049141029506581745,1.44,162.193,0.779,0.716,13.378436509485095,0.958,10.475,0.507,0.0247350697531388,-0.1079419148874859,34.60340148926839,-14.552878839479652,-3.8852656640521417,0.1541678418097529,0.0,-0.55,NEUTRAL,0.0,0.45,0.55,0.0,0.0,hold,11.0,122.82818,105.32,2.8,2025-06-06
DSGX,The Descartes Systems Group Inc,Technology,8745555968.0,SmallCap,61.787876,6.0232773,0.10657,0.07375,0.21671,0.75627,0.2777710032997214,,0.547,1.351,1.154,47.24855453769293,12.788,31.527,0.597,0.0221833159701146,-0.160006635567838,34.5631128609034,-10.72679538297357,0.2724091012577929,-0.1573015420096765,1.0,-0.15,NEGATIVE,0.15,0.55,0.3,0.0,0.0,buy,13.0,117.53231,102.25,0.64,2025-06-06
9101.T,Nippon Yusen,Consumer Discretionary,2142747099136.0,BigCap,10.585369,0.7348958,0.17187999,0.03073,0.18454,0.18129998,0.028948024942919606,4.86,24.864,1.331,0.962,28.593692714268926,1.073,7.603,1.049,0.0199329224445931,0.0565400689184814,45.0772672934175,-5.0967618317685375,57.03829683819913,0.0018011697764409,1.0,,NEUTRAL,0.0,1.0,0.0,2.0,0.0,hold,10.0,5175.0,4953.0,0.24,2025-06-06
3099.T,Isetan Mitsukoshi Holdings,Consumer Discretionary,800430555136.0,BigCap,15.394617,1.3298551,0.08768,0.03924,0.09507,0.60785997,0.0713844052928815,2.77,14.32,0.672,0.504,20.184730027233503,1.527,8.366,0.114,0.0242546918439558,-0.0452201243940768,57.88428915553476,-1.3510470614726413,64.7399493102098,0.5957132916530701,1.0,,NEGATIVE,0.0,1.0,0.0,1.0,0.0,hold,8.0,2550.0,2190.5,0.99,2025-06-06
BEN,Franklin Resources,Financials,11472122880.0,BigCap,31.637682,0.9290153,0.02799,0.02224,0.046490002,0.37884,-0.011229316986806718,5.89,24.117,6.576,1.642,-117.27869203752482,1.744,9.099,1.458,0.0239043119337973,0.0283993364368875,60.92852156950012,1.110595855343012,0.4488025856989104,0.5758310523322999,1.0,0.15,POSITIVE,0.15,0.85,0.0,0.0,0.0,hold,11.0,20.09091,21.87,0.55,2025-06-06
PKG,Packaging Corporation of America,Materials,17673420800.0,BigCap,20.5455,3.8981283,0.20211,0.08675,0.100880004,0.21913,0.04542090202553026,2.57,62.289,3.277,1.992,45.60524700631141,2.265,10.959,0.862,0.0187123169558918,-0.1814445286950452,59.53698244381522,2.052926512599894,1.6291464658950758,0.8606299155445383,1.0,-0.05,NEGATIVE,0.1,0.75,0.15,1.0,0.0,buy,10.0,201.35,196.4,0.86,2025-06-06
8267.T,Aeon,Consumer Discretionary,3772980920320.0,BigCap,131.27621,3.5914323,0.0339,0.011109999,0.0028400002,0.37048,0.04036320653255767,0.92,183.38,1.03,0.527,9.223175272246191,0.651,10.999,0.437,0.0140926498154905,0.1974557087070545,57.00922479750956,1.154201292705448,58.00525914778427,0.6308520614560793,1.0,0.429,POSITIVE,0.43,0.57,0.0,1.0,0.0,hold,7.0,3492.8572,4382.0,1.08,2025-06-06
9001.T,Tobu Railway,Consumer Discretionary,503408885760.0,BigCap,9.973109,0.90791863,0.093669996,0.026970001,0.08129,0.31306,-0.029543393298413236,2.61,138.93,0.403,0.238,-26.98447524796822,1.985,9.782,0.051,0.0130344945605226,-0.0140734949179046,40.79444994194392,-1.0398273494212282,-28.52890318760592,0.2634620056123249,0.0,,NEGATIVE,0.22,0.56,0.22,0.0,0.0,buy,4.0,3025.0,2522.0,1.33,2025-06-06
CNMD,CONMED Corporation,Healthcare,1750888960.0,SmallCap,14.853019,1.7903695,0.12962,0.04138,0.09024,0.56278,0.12087461971977294,1.41,91.257,2.257,0.906,11.07311362933646,1.982,11.687,1.244,0.0297678370301586,-0.2116988367788772,49.51446786542267,0.9454134254612868,0.144269820194637,0.3139721595797151,1.0,0.15,POSITIVE,0.2,0.75,0.05,0.0,0.0,hold,6.0,65.66667,56.95,0.71,2025-06-06
GE,GE Aerospace,Industrials,272622600192.0,BigCap,40.259842,14.161081,0.27197,0.03718,0.17628,0.31882,0.06609901257712839,0.57,106.4,1.075,0.727,103.95664170149054,6.97,28.334,1.389,0.0228152834367059,0.4611168751140797,85.08859550490553,11.043554177248325,11.99995351004793,0.9114215061136968,1.0,0.25,POSITIVE,0.4,0.45,0.15,0.0,0.0,strong_buy,18.0,243.22833,255.63,1.45,2025-06-06
ONB,Old National Bancorp,Financial Services,7822169600.0,SmallCap,12.293605,1.0707414,0.09292,0.0109,0.31382,0.0,,2.73,,,,,6.269,,0.848,0.0242107987624382,-0.0718182577035206,52.43450354356938,2.594820021540519,-0.0201793007334423,0.4630135816857079,1.0,0.3,POSITIVE,0.3,0.7,0.0,0.0,0.0,buy,11.0,25.13636,21.25,3.56,2025-06-06
SYF,Synchrony Financial,Financials,22458763264.0,BigCap,8.082191,1.4618071,0.18597999,0.02437,0.34037998,0.0,,2.09,,,,,2.122,,1.428,0.0302248588042249,-0.1233168915648172,57.837281984788135,2.7149345599495023,1.0788563519787644,0.5374143118476198,1.0,0.05,NEUTRAL,0.1,0.85,0.05,0.0,0.0,buy,21.0,64.14286,59.22,3.08,2025-06-06
WBA,Walgreens Boots Alliance,Consumer Staples,9728302080.0,BigCap,22.503675,1.367781,-0.66207004,-0.00587,-0.03803,0.17392,0.02418046541003454,8.89,428.707,0.611,0.266,2.647952128932652,0.262,30.051,0.746,0.0416183938090286,0.3142522720231073,56.088845620898994,0.0978704044817942,0.0494025301699689,0.5589612164455865,1.0,0.2,POSITIVE,0.25,0.7,0.05,1.0,0.0,hold,12.0,12.41333,11.25,0.0,2025-06-06
2282.T,NH Foods,Consumer Staples,501087928320.0,BigCap,19.268015,0.9536648,0.05167,0.024230001,0.0194,0.1608,0.025587753992974697,3.08,41.689,1.576,0.829,14.288476369442664,0.486,8.451,0.165,0.0158971673381385,0.0138898888438623,40.747854567444186,-0.0988337616129669,-43.12521621962696,0.2745628201167829,0.0,0.5,POSITIVE,0.5,0.5,0.0,1.0,0.0,hold,7.0,5442.857,5054.0,-0.22,2025-06-06
3402.T,Toray Industries,Consumer Discretionary,1515793416192.0,BigCap,19.959059,0.8921211,0.047270004,0.023570001,0.0304,0.19736,0.032177863993928496,2.04,46.285,1.705,0.983,18.37751411188159,0.874,8.737,0.451,0.0259394789034642,0.0274959231482654,50.057228805461946,-0.5812187351974811,9.235708143680654,0.3894496780918123,1.0,,POSITIVE,0.25,0.5,0.25,1.0,0.0,buy,12.0,1132.5,975.0,-0.41,2025-06-06
CBRE,CBRE Group,Real Estate,38339284992.0,BigCap,39.330276,4.582903,0.11921,0.038900003,0.02735,0.19610001,0.031659953942018114,,100.422,0.997,0.796,32.96388832128378,1.248,20.329,1.29,0.0215978486010889,-0.0673048915771664,57.6738621157376,6.850446192559632,0.4464955841590807,0.640108199722933,1.0,0.1,POSITIVE,0.2,0.7,0.1,0.0,0.0,buy,12.0,143.0,128.57,0.74,2025-06-06
ZIM,ZIM Integrated Shipping Service,Industrials,2111628800.0,SmallCap,0.8980533,0.5335241,0.72444,0.17063,0.26518,0.48208,0.33921467782663606,45.92,148.291,1.177,1.099,0.7020517258216039,0.636,1.935,1.752,0.0458421267842868,0.0173274332541271,56.50320775821513,-4.155277150569368,0.4495749762485985,0.517343689005155,1.0,0.2,NEUTRAL,0.35,0.5,0.15,0.0,0.0,underperform,7.0,14.42377,17.56,2.45,2025-06-06
2871.T,Nichirei,Consumer Staples,474944077824.0,BigCap,19.37941,1.8264282,0.09983,0.048649997,0.03523,0.17979,0.026479176465997834,2.55,38.502,1.588,1.09,25.547675197052722,0.791,8.911,0.274,0.0156542574315792,-0.1001661523854735,53.680250488125694,3.044305517803751,-0.0311140880130551,0.7373283370032534,0.0,0.333,POSITIVE,0.33,0.67,0.0,0.0,0.0,buy,5.0,2300.0,1895.5,0.53,2025-06-06
WM,Waste Management,Industrials,95362646016.0,BigCap,35.743587,11.023352,0.34013999,0.07004,0.1167,0.39403,0.05088452231307667,1.38,275.54,0.833,0.711,81.54939677721498,5.22,17.774,0.668,0.0123631796659231,0.0705215555327782,55.0921236858951,1.59437075481693,2.4846198035797045,0.6287976537942608,1.0,-0.05,NEGATIVE,0.15,0.65,0.2,1.0,0.0,buy,21.0,247.48143,236.33,-0.96,2025-06-06
HOLX,Hologic,Health Care,14384645120.0,BigCap,27.12185,3.1144457,0.11766,0.069180004,0.13826,0.61013,0.19269216180344031,,54.799,3.242,2.294,18.503997551110707,3.715,11.946,0.548,0.0227194248305019,-0.1432173322353377,66.0770140991117,18.4196033989177,1.640757040422578,0.8764528513085748,1.0,,POSITIVE,0.2,0.6,0.2,1.0,0.0,buy,15.0,67.27467,64.33,2.0,2025-06-06
